@RELATION test
@ATTRIBUTE rowc NUMERIC 
@ATTRIBUTE colc NUMERIC 
@ATTRIBUTE class {-1,1}

@DATA 
637.930115 , 1745.62695 ,  -1 
637.497681 , 1840.26697 ,  -1 
631.009277 , 1934.55103 ,  -1 
701.799805 , 106.529099 ,  -1 
706.900879 , 206.119598 ,  -1 
700.171021 , 314.309113 ,  -1 
698.476379 , 395.717102 ,  -1 
705.558472 , 493.621704 ,  -1 
706.603516 , 579.032288 ,  -1 
707.407898 , 692.012024 ,  -1 
695.065491 , 777.883972 ,  -1 
695.988403 , 869.562683 ,  -1 
699.423218 , 963.404114 ,  -1 
708.209106 , 1053.78503 ,  -1 
702.932678 , 1166.02002 ,  -1 
696.68219 , 1255.78796 ,  -1 
707.498108 , 1363.74805 ,  -1 
698.920776 , 1443.98596 ,  -1 
698.052612 , 1544.63098 ,  -1 
700.682922 , 1641.52905 ,  -1 
697.057617 , 1736.82495 ,  -1 
702.651184 , 1853.27002 ,  -1 
707.400818 , 1935.69897 ,  -1 
765.157776 , 124.768303 ,  -1 
762.819885 , 207.723297 ,  -1 
769.310486 , 298.398407 ,  -1 
775.707825 , 406.434509 ,  -1 
762.201721 , 489.243988 ,  -1 
771.733215 , 578.107971 ,  -1 
773.246887 , 681.124329 ,  -1 
764.942627 , 782.835571 ,  -1 
771.330811 , 869.666687 ,  -1 
773.681213 , 959.206787 ,  -1 
767.423889 , 1062.43799 ,  -1 
775.578125 , 1159.07898 ,  -1 
763.474182 , 1250.84595 ,  -1 
770.27948 , 1361.99902 ,  -1 
767.304871 , 1461.88794 ,  -1 
775.797913 , 1542.40503 ,  -1 
773.650574 , 1654.60901 ,  -1 
767.474487 , 1756.78296 ,  -1 
768.186279 , 1847.75806 ,  -1 
766.176819 , 1943.87805 ,  -1 
829.204895 , 107.234703 ,  -1 
834.314087 , 217.428299 ,  -1 
837.330872 , 300.507385 ,  -1 
839.658813 , 403.938904 ,  -1 
841.802917 , 491.755493 ,  -1 
841.676392 , 582.479126 ,  -1 
836.680603 , 684.501526 ,  -1 
837.781616 , 777.664429 ,  -1 
830.199829 , 867.273499 ,  -1 
833.383423 , 962.370178 ,  -1 
828.832214 , 1057.56494 ,  -1 
838.289429 , 1167.20996 ,  -1 
834.319275 , 1257.12805 ,  -1 
833.728882 , 1353.72095 ,  -1 
833.789612 , 1449.16602 ,  -1 
832.933289 , 1552.86804 ,  -1 
828.343323 , 1657.73999 ,  -1 
828.994873 , 1740.54504 ,  -1 
840.850403 , 1840.06201 ,  -1 
829.591492 , 1937.12805 ,  -1 
902.053284 , 109.555702 ,  -1 
903.262085 , 203.0914 ,  -1 
898.076294 , 305.62561 ,  -1 
900.611877 , 390.066986 ,  -1 
901.937622 , 486.453186 ,  -1 
905.2146 , 594.599976 ,  -1 
896.909485 , 679.865784 ,  -1 
897.831299 , 773.10907 ,  -1 
895.336426 , 876.864929 ,  -1 
896.110474 , 965.143311 ,  -1 
906.388123 , 1057.41394 ,  -1 
902.585083 , 1153.02002 ,  -1 
905.514282 , 1264.42004 ,  -1 
896.856384 , 1348.547 ,  -1 
900.54303 , 1446.39404 ,  -1 
901.997375 , 1547.28003 ,  -1 
909.00592 , 1654.25305 ,  -1 
903.543579 , 1753.328 ,  -1 
895.055176 , 1843.776 ,  -1 
896.010071 , 1938.66602 ,  -1 
972.128723 , 105.435501 ,  -1 
972.111816 , 209.485107 ,  -1 
965.95343 , 300.821014 ,  -1 
972.286621 , 405.406311 ,  -1 
967.72229 , 485.062286 ,  -1 
966.813477 , 585.299683 ,  -1 
975.004395 , 685.999817 ,  -1 
966.711609 , 769.615784 ,  -1 
963.101929 , 865.950195 ,  -1 
968.763123 , 964.947815 ,  -1 
973.627991 , 1054.82996 ,  -1 
975.30542 , 1164.448 ,  -1 
973.507812 , 1247.948 ,  -1 
975.263916 , 1362.30396 ,  -1 
970.987427 , 1442.854 ,  -1 
976.377686 , 1547.53003 ,  -1 
971.220581 , 1657.71301 ,  -1 
964.798706 , 1743.55298 ,  -1 
971.879272 , 1839.62 ,  -1 
976.483826 , 1937.95605 ,  -1 
1045.88696 , 120.490997 ,  -1 
1045.771 , 205.152206 ,  -1 
1039.96204 , 309.23761 ,  -1 
1035.36804 , 393.683899 ,  -1 
1042.18506 , 486.13031 ,  -1 
1032.10901 , 580.336426 ,  -1 
1032.901 , 674.002502 ,  -1 
1044.37903 , 778.147278 ,  -1 
1045.68799 , 881.023193 ,  -1 
1035.57397 , 970.804626 ,  -1 
1037.84595 , 1061.56201 ,  -1 
1038.479 , 1158.81799 ,  -1 
1035 , 1255.71594 ,  -1 
1033.21899 , 1356.84705 ,  -1 
1038.83496 , 1446.70398 ,  -1 
1044.203 , 1541.047 ,  -1 
1035.38501 , 1646.61304 ,  -1 
1040.43604 , 1746.55298 ,  -1 
1035.23499 , 1837.32104 ,  -1 
1032.31604 , 1932.63794 ,  -1 
1116.03894 , 116.991302 ,  -1 
1112.125 , 207.017303 ,  -1 
1109.19995 , 305.628815 ,  -1 
1116.03601 , 398.115204 ,  -1 
1108.63501 , 486.712585 ,  -1 
1106.47302 , 594.921326 ,  -1 
1112.94202 , 681.235474 ,  -1 
1113.28699 , 785.710083 ,  -1 
1116.53406 , 872.064575 ,  -1 
1104.08801 , 975.779724 ,  -1 
1112.88794 , 1059.401 ,  -1 
1109.09497 , 1170.84595 ,  -1 
1111.30103 , 1262.35205 ,  -1 
1110.03406 , 1349.724 ,  -1 
1107.66699 , 1445.86902 ,  -1 
1115.70801 , 1557.875 ,  -1 
1111.12195 , 1638.47595 ,  -1 
1113.71204 , 1756.16797 ,  -1 
1105.21594 , 1835.38403 ,  -1 
1113.12903 , 1938.69702 ,  -1 
1185.87 , 113.053802 ,  -1 
1184.36499 , 200.083801 ,  -1 
1179.552 , 308.8526 ,  -1 
1182.30396 , 397.600708 ,  -1 
1176.03796 , 492.175903 ,  -1 
1177.43896 , 597.251404 ,  -1 
1186.07703 , 685.955994 ,  -1 
1184.07605 , 786.193176 ,  -1 
1179.14905 , 871.797485 ,  -1 
1186.54797 , 962.728516 ,  -1 
1175.84094 , 1072.73999 ,  -1 
1177.45398 , 1150.81799 ,  -1 
1184.91296 , 1265.93005 ,  -1 
1177.76599 , 1351.07996 ,  -1 
1178.65698 , 1446.59204 ,  -1 
1185.44397 , 1541.08496 ,  -1 
1183.27795 , 1644.17896 ,  -1 
1176.15906 , 1756.22595 ,  -1 
1174.271 , 1849.70996 ,  -1 
1180.10999 , 1947.66602 ,  -1 
1246.81104 , 111.757004 ,  -1 
1251.75403 , 201.649094 ,  -1 
1255.53406 , 313.935791 ,  -1 
1247.05798 , 395.176697 ,  -1 
1251.34705 , 492.338898 ,  -1 
1250.11597 , 592.415588 ,  -1 
1251.54602 , 686.74707 ,  -1 
1247.30005 , 773.785583 ,  -1 
1251.64001 , 877.07782 ,  -1 
1250.65002 , 965.827881 ,  -1 
1252.41797 , 1069.375 ,  -1 
1255.08105 , 1151.427 ,  -1 
1246.052 , 1259.58398 ,  -1 
1257.78503 , 1353.96997 ,  -1 
1246.05103 , 1456.48706 ,  -1 
1253.18604 , 1552.58801 ,  -1 
1248.28101 , 1643.14697 ,  -1 
1253.00305 , 1744.66199 ,  -1 
1248.44495 , 1843.59497 ,  -1 
1247.40198 , 1934.95801 ,  -1 
1319.71899 , 117.920601 ,  -1 
1319.56494 , 218.016296 ,  -1 
1320.33496 , 302.813812 ,  -1 
1322.33606 , 397.597595 ,  -1 
1319.34595 , 501.889893 ,  -1 
1315.06494 , 580.491272 ,  -1 
1322.03198 , 684.865295 ,  -1 
1316.58899 , 782.139282 ,  -1 
1325.96899 , 865.672791 ,  -1 
1326.099 , 972.409119 ,  -1 
1318.828 , 1056.96106 ,  -1 
1327.40295 , 1165.38 ,  -1 
1327.49194 , 1261.39294 ,  -1 
1321.91394 , 1349.63599 ,  -1 
1323.72205 , 1450.89099 ,  -1 
1321.76794 , 1546.81006 ,  -1 
1316.09204 , 1657.72803 ,  -1 
1318.23999 , 1746.71899 ,  -1 
